ID	numer_rejestracyjny	marka	rok_produkcji	id_wlasciciela
475	SJ28923	renault	1994	313
476	SKL8858	opel	2005	539
477	PGS1481	mercedes	1995	445
478	LHR6566	fiat	1998	455
479	KL77016	citroen	2000	432
480	EPD8934	skoda	2008	646
481	BI22623	opel	2002	413
482	ES38246	renault	1999	302
483	RZ76428	fiat	2002	574
484	GPU7761	toyota	2006	157
485	ZK11965	renault	2004	661
486	KGR4823	opel	2004	239
487	DL66712	toyota	2004	349
488	DL76345	skoda	2008	349
489	CW82991	skoda	2004	94
490	ZSZ7098	daewoo	1998	446
491	FNW1640	skoda	1999	227
492	PTU8460	saab	1998	628
493	LLE3799	fiat	1997	75
494	EPD9220	skoda	1998	614
495	KDA5967	skoda	1998	174
496	ZSD1410	chrysler	2006	2
497	ZST8544	peugeot	2005	212
498	PK62232	skoda	1999	408
499	DLW8327	fiat	2004	318
500	RLE6811	opel	2002	675
501	ELK3618	fiat	1995	229
502	DZG1632	fiat	2000	519
503	BSK1960	peugeot	2006	412
504	KMI4661	peugeot	1998	670
505	LUB2834	opel	1996	611
506	DJ28753	fiat	2006	234
507	CNA8582	fiat	2007	477
508	RLA2626	opel	2002	402
509	ZMY4703	chrysler	1999	59
510	DB44154	bmw	2002	592
511	DZL1342	peugeot	1999	204
512	FZA4700	renault	1999	255
513	PGS2000	fiat	1994	292
514	CT88519	renault	2006	522
515	RTA1052	renault	1998	575
516	RSA5467	citroen	2005	26
517	KNS9257	fiat	1998	114
518	PCH2559	mercedes	1997	296
519	BIA2471	peugeot	2000	559
520	CTR1744	skoda	2003	600
521	PGS3326	audi	2005	546
522	RLS7434	opel	2008	655
523	ELC6690	chrysler	2007	165
524	GBY1463	saab	1994	658
525	DW21363	opel	1999	12
526	BHA6444	saab	2000	144
527	CAL9138	opel	2000	171
528	KTA5359	toyota	2001	622
529	CMG3443	fiat	1998	71
530	CBR6082	skoda	2004	257
531	CGD4871	skoda	2009	159
532	LLU5430	nissan	2001	130
533	SJ70806	saab	1997	107
534	SJ36086	mercedes	2001	664
535	RBI1125	citroen	2003	487
536	KTA9675	seat	1995	346
537	RDE1793	skoda	2009	417
538	SKL1661	peugeot	2004	671
539	PWA6451	opel	1997	613
540	KRA5053	nissan	2001	507
541	CMG1491	skoda	2009	202
542	ES31732	skoda	2001	368
543	RLU9802	fiat	2004	623
544	GDA8255	peugeot	2008	423
545	DZL3002	opel	1997	570
546	OST9612	audi	1995	540
547	KSU1543	toyota	2005	180
548	KNT1384	skoda	2002	571
549	DOL3935	chrysler	1999	564
550	STA1028	skoda	1995	146
551	BAU7833	skoda	2001	143
552	SRC1976	renault	2003	624
553	RLS7773	fiat	2003	474
554	PCT6093	citroen	1995	61
555	PLE3632	daewoo	2003	97
556	RMI3092	opel	2008	6
557	RMI9712	daewoo	1995	140
558	PPL5605	mercedes	1998	405
559	BI89040	fiat	2006	543
560	DW40383	opel	1997	332
561	OPL8265	saab	2002	520
562	DPL2940	skoda	2001	271
563	SNY1524	honda	2003	403
564	NSZ2785	lancia	2001	561
565	GKS1644	fiat	2001	100
566	PNT7340	opel	2002	14
567	RK74435	skoda	1997	411
568	NOG2692	toyota	2004	666
569	DJE7250	fiat	2008	669
570	DL67344	peugeot	2001	105
571	RDE1674	skoda	2002	222
572	OPL3843	mazda	2005	330
573	DJ36945	fiat	2007	300
574	LBI3537	renault	1998	275
575	BMN9775	fiat	2008	579
576	DBA4612	peugeot	2007	308
577	KDA8504	fiat	2009	388
578	FGW2190	fiat	2002	261
579	DDZ1996	skoda	2003	639
580	KCH7117	skoda	1994	682
581	RLS8341	mazda	1998	147
582	GSP7446	fiat	2005	269
583	FNW8794	skoda	2008	310
584	ZDR6262	saab	2002	380
585	DL21234	chrysler	2000	550
586	BI10150	opel	2002	392
587	DSR9807	audi	1999	444
588	DOA2827	chrysler	2001	459
589	KDA3258	opel	2008	599
590	GDA3873	skoda	1998	164
591	PCH5508	toyota	1999	390
592	CTR8708	opel	2002	586
593	CZN7504	fiat	1994	324
594	DW75354	fiat	2006	117
595	KTA7707	fiat	1998	478
596	KOL4195	mercedes	1999	65
597	DOL7674	fiat	2002	137
598	GST3889	fiat	2001	400
599	RBR2122	lancia	2005	364
600	BI11354	volkswagen	1996	30
601	KKT4072	fiat	2006	653
602	RJA2865	fiat	2007	307
603	LLE6065	fiat	2001	256
604	RLU7991	skoda	1994	535
605	RST5759	renault	2005	9
606	LBL7214	fiat	2000	595
607	OPR2290	volkswagen	1999	81
608	DZL8845	skoda	2003	36
609	GST6167	opel	2002	594
610	RSA7336	lancia	2008	433
611	DBA6653	fiat	2009	264
612	PCH3853	fiat	2006	426
613	RZ65414	fiat	1994	192
614	SG80908	renault	2007	161
615	RPZ6202	peugeot	2006	424
616	FZI8707	skoda	1994	116
617	FSW6615	renault	1997	636
618	RLU9430	saab	1994	162
619	PL55282	fiat	2008	588
620	PO50123	peugeot	2004	407
621	BIA9349	daewoo	1996	651
622	GTC5981	fiat	2007	78
623	KLI9082	kia	2007	436
624	DW36234	skoda	2002	270
625	DL29754	fiat	1997	156
626	DW47952	opel	1998	645
627	OPR9728	peugeot	1998	201
628	DJA5775	skoda	1996	42
629	RK97512	fiat	1998	70
630	ELC4821	skoda	2001	216
631	PKS3880	renault	2001	527
632	DL37722	fiat	1996	349
633	LUB8258	toyota	2009	378
634	LLU3222	skoda	2008	327
635	GBY4687	opel	2001	547
636	PLE7351	mercedes	2002	491
637	NPI6954	citroen	2003	335
638	PKA9601	lancia	2009	190
639	PCT1401	fiat	1994	612
640	GND2035	skoda	1999	321
641	RZ71514	opel	1999	139
642	RPZ4458	peugeot	2006	635
643	DW68473	fiat	2001	111
644	DKA3864	saab	2002	80
645	GTC2880	skoda	2008	79
646	PSE9381	renault	2009	357
647	PWA2818	fiat	1998	590
648	LRA1526	skoda	1998	135
649	GST5519	opel	2006	531
650	DZL8271	lancia	2000	28
651	DJA5443	fiat	1995	398
652	RST4375	skoda	2007	205
653	DSW2724	peugeot	1997	468
654	RLA4600	renault	1996	22
655	OP56555	seat	2001	353
656	RPR8553	skoda	2003	210
657	PL47308	skoda	2002	108
658	PKA1093	chrysler	2004	279
659	RKL3889	skoda	2005	677
660	RK94559	daewoo	1994	360
661	KMI6346	fiat	1999	505
662	LU48923	chrysler	1997	563
663	DJ64554	fiat	2004	237
664	NWE9853	peugeot	1994	573
665	RPZ4662	opel	2000	627
666	RBR5627	skoda	1996	379
667	DLW1258	renault	1995	120
668	KSU4111	opel	2000	603
669	GA75003	chrysler	1997	602
670	DJ33404	lancia	2005	260
671	PPL2571	renault	2009	31
672	LU95221	saab	1995	320
673	CZN2124	chrysler	1996	642
674	NEL1218	toyota	2003	662
675	DLW7967	fiat	2003	287
676	ES63675	fiat	1998	428
677	KRA5187	chrysler	2003	647
678	BL32674	skoda	2000	17
679	BMN8263	seat	2009	421
680	DBA4114	bmw	2003	13
681	CNA7148	skoda	1997	552
682	ZSW5447	skoda	1995	298
683	DOL6064	toyota	1996	386
684	KKT3567	bmw	2000	69
685	NGO2997	fiat	1999	339
686	KPR3852	skoda	1997	268
687	DGR8301	opel	2003	643
688	ZSL5569	daewoo	1997	458
689	SD82367	peugeot	2007	532
690	KOL2593	renault	2007	203
691	PKS5655	daewoo	2004	10
692	DJE7644	renault	1994	359
693	BSI5910	daewoo	2002	19
694	PGS8228	fiat	2006	213
695	SKL3386	kia	2000	567
696	NKE2313	opel	2000	397
697	OK14785	fiat	2009	64
698	DSW4524	skoda	2008	122
699	DGL8423	citroen	2007	422
700	ELC7432	saab	2008	221
701	CNA2202	renault	2008	441
702	KCH1228	daewoo	2000	182
703	BI03060	skoda	2000	254
704	DJE7644	renault	1994	359
